Temperature	Range	Population	Tree	Trait	SeedWeight	NameTrait
T22	Bel	Bel.Pop6	Bel.Pop6.Arbre31	10	23.17647059	ExampleTrait
T22	Bel	Bel.Pop6	Bel.Pop6.Arbre31	3	23.17647059	ExampleTrait
T22	Bel	Bel.Pop6	Bel.Pop6.Arbre31	8	23.17647059	ExampleTrait
T22	Bel	Bel.Pop6	Bel.Pop6.Arbre31	8	23.17647059	ExampleTrait
T22	Bel	Bel.Pop6	Bel.Pop6.Arbre31	8	23.17647059	ExampleTrait
T22	Bel	Bel.Pop1	Bel.Pop1.Arbre1	8	17.26666667	ExampleTrait
T22	Bel	Bel.Pop1	Bel.Pop1.Arbre1	5	17.26666667	ExampleTrait
T22	Bel	Bel.Pop1	Bel.Pop1.Arbre1	6	17.26666667	ExampleTrait
T22	Bel	Bel.Pop1	Bel.Pop1.Arbre1	5	17.26666667	ExampleTrait
T22	Bel	Bel.Pop1	Bel.Pop1.Arbre1	NA	17.26666667	ExampleTrait
T22	Fr	Fr.Pop8	Fr.Pop8.Arbre1	5	24.44285714	ExampleTrait
T22	Fr	Fr.Pop8	Fr.Pop8.Arbre1	5	24.44285714	ExampleTrait
T22	Fr	Fr.Pop8	Fr.Pop8.Arbre1	5.5	24.44285714	ExampleTrait
T22	Fr	Fr.Pop8	Fr.Pop8.Arbre1	8	24.44285714	ExampleTrait
T22	Fr	Fr.Pop8	Fr.Pop8.Arbre1	10	24.44285714	ExampleTrait
T22	Fr	Fr.Pop10	Fr.Pop10.Arbre1	6	20.18846154	ExampleTrait
T22	Fr	Fr.Pop10	Fr.Pop10.Arbre1	5	20.18846154	ExampleTrait
T22	Fr	Fr.Pop10	Fr.Pop10.Arbre1	9	20.18846154	ExampleTrait
T22	Fr	Fr.Pop10	Fr.Pop10.Arbre1	6	20.18846154	ExampleTrait
T22	Fr	Fr.Pop10	Fr.Pop10.Arbre1	8	20.18846154	ExampleTrait
T22	Bel	Bel.Pop9	Bel.Pop9.Arbre6	6	19.03333333	ExampleTrait
T22	Bel	Bel.Pop9	Bel.Pop9.Arbre6	NA	19.03333333	ExampleTrait
T22	Bel	Bel.Pop9	Bel.Pop9.Arbre6	6	19.03333333	ExampleTrait
T22	Bel	Bel.Pop9	Bel.Pop9.Arbre6	9	19.03333333	ExampleTrait
T22	Bel	Bel.Pop9	Bel.Pop9.Arbre6	6	19.03333333	ExampleTrait
T22	Fr	Fr.Pop3	Fr.Pop3.Arbre1	6	22.61714286	ExampleTrait
T22	Fr	Fr.Pop3	Fr.Pop3.Arbre1	8	22.61714286	ExampleTrait
T22	Fr	Fr.Pop3	Fr.Pop3.Arbre1	6	22.61714286	ExampleTrait
T22	Fr	Fr.Pop3	Fr.Pop3.Arbre1	6	22.61714286	ExampleTrait
T22	Fr	Fr.Pop3	Fr.Pop3.Arbre1	5	22.61714286	ExampleTrait
T22	Bel	Bel.Pop3	Bel.Pop3.Arbre31	5	23.905	ExampleTrait
T22	Bel	Bel.Pop3	Bel.Pop3.Arbre31	6	23.905	ExampleTrait
T22	Bel	Bel.Pop3	Bel.Pop3.Arbre31	7	23.905	ExampleTrait
T22	Bel	Bel.Pop3	Bel.Pop3.Arbre31	3	23.905	ExampleTrait
T22	Bel	Bel.Pop3	Bel.Pop3.Arbre31	5	23.905	ExampleTrait
T22	Fr	Fr.Pop7	Fr.Pop7.Arbre1	8	22.00091743	ExampleTrait
T22	Fr	Fr.Pop7	Fr.Pop7.Arbre1	3.5	22.00091743	ExampleTrait
T22	Fr	Fr.Pop7	Fr.Pop7.Arbre1	6	22.00091743	ExampleTrait
T22	Fr	Fr.Pop7	Fr.Pop7.Arbre1	7	22.00091743	ExampleTrait
T22	Fr	Fr.Pop7	Fr.Pop7.Arbre1	7	22.00091743	ExampleTrait
T22	Fr	Fr.Pop5	Fr.Pop5.Arbre1	7	19.71494253	ExampleTrait
T22	Fr	Fr.Pop5	Fr.Pop5.Arbre1	7	19.71494253	ExampleTrait
T22	Fr	Fr.Pop5	Fr.Pop5.Arbre1	NA	19.71494253	ExampleTrait
T22	Fr	Fr.Pop5	Fr.Pop5.Arbre1	3.5	19.71494253	ExampleTrait
T22	Fr	Fr.Pop5	Fr.Pop5.Arbre1	15	19.71494253	ExampleTrait
T22	Fr	Fr.Pop6	Fr.Pop6.Arbre1	5	23.85652174	ExampleTrait
T22	Fr	Fr.Pop6	Fr.Pop6.Arbre1	7	23.85652174	ExampleTrait
T22	Fr	Fr.Pop6	Fr.Pop6.Arbre1	5	23.85652174	ExampleTrait
T22	Fr	Fr.Pop6	Fr.Pop6.Arbre1	5	23.85652174	ExampleTrait
T22	Fr	Fr.Pop6	Fr.Pop6.Arbre1	5	23.85652174	ExampleTrait
T22	Bel	Bel.Pop2	Bel.Pop2.Arbre31	7	17.81666667	ExampleTrait
T22	Bel	Bel.Pop2	Bel.Pop2.Arbre31	5	17.81666667	ExampleTrait
T22	Bel	Bel.Pop2	Bel.Pop2.Arbre31	5	17.81666667	ExampleTrait
T22	Bel	Bel.Pop2	Bel.Pop2.Arbre31	6	17.81666667	ExampleTrait
